experiment,AUC,F1,Sens@95%,fold
baseline_raw,0.9913277673040668,0.8327402135231317,0.9556962025316456,1
baseline_raw,0.9832480474010235,0.8153310104529616,0.9050632911392406,2
baseline_raw,0.994568632731843,0.9085173501577287,0.9746835443037974,3
baseline_raw,0.9757608402908701,0.8657718120805369,0.9240506329113924,4
baseline_raw,0.988520225843339,0.851063829787234,0.9371069182389937,5
raw+water,0.9908160517102074,0.852112676056338,0.9556962025316456,1
raw+water,0.986309363497621,0.8664495114006515,0.9556962025316456,2
raw+water,0.9910225334410628,0.9025974025974026,0.9683544303797469,3
raw+water,0.990017057186462,0.8938906752411575,0.9556962025316456,4
raw+water,0.9890115780445968,0.8754208754208754,0.9559748427672956,5
raw+fits,0.9932220127480026,0.8888888888888888,0.9746835443037974,1
raw+fits,0.9899452374539905,0.8861538461538462,0.9620253164556962,2
raw+fits,0.9920998294281355,0.9144736842105263,0.9430379746835443,3
raw+fits,0.9882036089415567,0.8976897689768977,0.9620253164556962,4
raw+fits,0.9924063750714694,0.9034267912772586,0.9685534591194969,5
all_four,0.9926564323547895,0.8888888888888888,0.9746835443037974,1
all_four,0.9875392764161953,0.9113924050632911,0.9683544303797469,2
all_four,0.994155669270132,0.9221183800623053,0.9620253164556962,3
all_four,0.9887153245354161,0.8273381294964028,0.9556962025316456,4
all_four,0.9937464265294454,0.8903654485049833,0.9874213836477987,5
fits+water,0.9943801059341053,0.9113149847094801,0.9810126582278481,1
fits+water,0.9893976119938954,0.8861538461538462,0.9556962025316456,2
fits+water,0.9937337283418619,0.9180327868852459,0.9746835443037974,3
fits+water,0.9817757428853577,0.8769716088328076,0.930379746835443,4
fits+water,0.9947916666666667,0.91875,0.9748427672955975,5
fit1_only,0.9901876290510817,0.9113924050632911,0.9430379746835443,1
fit1_only,0.9854744591076399,0.8490566037735849,0.930379746835443,2
fit1_only,0.9861387916330011,0.89375,0.9556962025316456,3
fit1_only,0.9905197953137624,0.8990228013029316,0.9430379746835443,4
fit1_only,0.9906732418524872,0.901840490797546,0.9685534591194969,5
fit2_only,0.991453451835892,0.9055374592833876,0.9620253164556962,1
fit2_only,0.9893976119938954,0.8957055214723927,0.9556962025316456,2
fit2_only,0.9918933476972798,0.9148264984227129,0.9683544303797469,3
fit2_only,0.9901158093186103,0.8648648648648649,0.9556962025316456,4
fit2_only,0.9938893653516295,0.9090909090909091,0.9811320754716981,5
fits_combined,0.9922704012927551,0.8888888888888888,0.9683544303797469,1
fits_combined,0.9895322739922794,0.8838709677419355,0.9493670886075949,2
fits_combined,0.992853936619086,0.8903654485049833,0.9620253164556962,3
fits_combined,0.9892180626627167,0.8819875776397516,0.9556962025316456,4
fits_combined,0.9962389222412807,0.9061488673139159,1.0,5
